City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Spanaway,US,73.45,overcast clouds,47.104,-122.4346,Firwood RV
1,Vaini,TO,73.56,moderate rain,-21.2,-175.2,Keleti Beach Resort
12,Hilo,US,74.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
19,Atuona,PF,76.51,scattered clouds,-9.8,-139.0333,Villa Enata
45,Svetlyy,RU,75.25,scattered clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
54,Richards Bay,ZA,74.91,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
75,Sao Filipe,CV,76.41,broken clouds,14.8961,-24.4956,Hotel Xaguate
76,Aguimes,ES,74.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
85,Kahului,US,76.26,clear sky,20.8947,-156.47,Maui Seaside Hotel
94,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
95,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
98,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
107,Beira,MZ,73.49,light rain,-19.8436,34.8389,Beira Terrace Hotel
108,Iztapa,GT,75.45,few clouds,13.9333,-90.7075,Villas de Puerto Viejo
115,Braniewo,PL,73.4,broken clouds,54.3797,19.8196,Hotel Warmia
118,Faanui,PF,76.64,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
122,Zhigansk,RU,75.56,few clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
138,Sao Jose Da Coroa Grande,BR,75.61,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
150,Camacari,BR,74.97,overcast clouds,-12.6975,-38.3242,Hotel Cambuci
151,Sambava,MG,76.53,scattered clouds,-14.2667,50.1667,Melrose
157,Bolotnoye,RU,74.44,scattered clouds,55.6717,84.3981,"Gostinichnyy Dom ""Otdykh"""
158,Nuevo Progreso,MX,76.59,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
166,Port Alfred,ZA,75.22,clear sky,-33.5906,26.891,The Halyards Hotel
171,Lasa,IT,74.14,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
177,Bonthe,SL,76.3,moderate rain,7.5264,-12.505,Bonthe Holiday Village
193,Saint-Joseph,RE,76.21,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
201,Fare,PF,76.35,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
206,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
