City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-07-28 03:58:37,-33.65,115.3333,59.04,69,54,19.71
1,Ushuaia,AR,2021-07-28 03:58:37,-54.8,-68.3,38.86,93,75,3.44
2,Malaya Vishera,RU,2021-07-28 03:58:37,58.8454,32.2222,65.28,76,100,5.84
3,Yei,SS,2021-07-28 03:58:38,4.095,30.6779,65.5,96,93,2.37
4,Tuatapere,NZ,2021-07-28 03:58:38,-46.1333,167.6833,52.83,74,65,1.79
5,Fort Nelson,CA,2021-07-28 03:56:57,58.8053,-122.7002,63.99,63,40,4.61
6,Albany,US,2021-07-28 03:58:23,42.6001,-73.9662,67.08,93,89,3.15
7,Walvis Bay,NA,2021-07-28 03:58:39,-22.9575,14.5053,55.09,76,0,2.3
8,Rikitea,PF,2021-07-28 03:58:39,-23.1203,-134.9692,74.52,79,100,14.63
9,Dunedin,NZ,2021-07-28 03:58:39,-45.8742,170.5036,50.81,58,48,3.47
10,Victoria,HK,2021-07-28 03:54:28,22.2855,114.1577,94.96,75,99,1.01
11,Hasaki,JP,2021-07-28 03:58:40,35.7333,140.8333,88.29,77,100,22.3
12,Zhigansk,RU,2021-07-28 03:58:40,66.7697,123.3711,66.58,49,47,7.81
13,Kaeo,NZ,2021-07-28 03:58:41,-35.1,173.7833,63.32,74,95,6.71
14,Port Blair,IN,2021-07-28 03:58:41,11.6667,92.75,82.87,82,100,19.91
15,Bluff,NZ,2021-07-28 03:58:42,-46.6,168.3333,52.81,72,36,3.06
16,Kirriemuir,GB,2021-07-28 03:58:42,56.674,-3.0034,60.03,94,100,2.26
17,Port Alfred,ZA,2021-07-28 03:58:43,-33.5906,26.891,59.56,84,8,14.18
18,Severo-Kurilsk,RU,2021-07-28 03:58:43,50.6789,156.125,59.11,89,100,6.44
19,Gorontalo,ID,2021-07-28 03:58:44,0.5412,123.0595,89.01,59,15,9.66
20,Hermanus,ZA,2021-07-28 03:58:44,-34.4187,19.2345,50.9,65,99,11.36
21,New Norfolk,AU,2021-07-28 03:58:44,-42.7826,147.0587,56.91,58,47,5.01
22,Punta Arenas,CL,2021-07-28 03:58:45,-53.15,-70.9167,44.71,81,75,18.41
23,Esperance,AU,2021-07-28 03:58:45,-33.8667,121.9,58.84,49,4,18.95
